	title	artist	album	likeStatus	videoId	albumId	artistId
20	Jewel Tea	µ-Ziq	Somerset Avenue Tracks (1992-1995)	LIKE	3366kQbdloY	MPREb_F5ych6fK2ee	UC7IoxqTlXj7Kky2eW3Hnvpg
27	Str06	µ-Ziq	Somerset Avenue Tracks (1992-1995)	LIKE	k9KVnACNW4s	MPREb_F5ych6fK2ee	UC7IoxqTlXj7Kky2eW3Hnvpg
32	Toss	µ-Ziq	Somerset Avenue Tracks (1992-1995)	LIKE	05PNUOdGBc8	MPREb_F5ych6fK2ee	UC7IoxqTlXj7Kky2eW3Hnvpg
38	Boilig	µ-Ziq	Somerset Avenue Tracks (1992-1995)	LIKE	cB713uG0E1Y	MPREb_F5ych6fK2ee	UC7IoxqTlXj7Kky2eW3Hnvpg
41	Ropt	µ-Ziq	Somerset Avenue Tracks (1992-1995)	LIKE	l3i3OjiBhds	MPREb_F5ych6fK2ee	UC7IoxqTlXj7Kky2eW3Hnvpg
2032	Fugitive Air	of Montreal	Lousy with Sylvianbriar	LIKE	v7IZkDOqM-M	MPREb_KeVZdkNHhTq	UCTc-gLB4Gy6BxJhMAYZ6m4A
2033	Obsidian Currents	of Montreal	Lousy with Sylvianbriar	LIKE	G9_l2Zx1u04	MPREb_KeVZdkNHhTq	UCTc-gLB4Gy6BxJhMAYZ6m4A
2036	Colossus	of Montreal	Lousy with Sylvianbriar	LIKE	j8fVfl0lAi4	MPREb_KeVZdkNHhTq	UCTc-gLB4Gy6BxJhMAYZ6m4A
2037	Triumph of Disintegration	of Montreal	Lousy with Sylvianbriar	LIKE	nrNAUnDsJdQ	MPREb_KeVZdkNHhTq	UCTc-gLB4Gy6BxJhMAYZ6m4A
2038	Amphibian Days	of Montreal	Lousy with Sylvianbriar	LIKE	MfK2J7PZmac	MPREb_KeVZdkNHhTq	UCTc-gLB4Gy6BxJhMAYZ6m4A
1925	she found now	my bloody valentine	m b v	LIKE	SE1nsleNzXA	MPREb_NTixiZJ3xDf	UCuoGeza7Dl9Ni_hmeLTPdkg
1926	only tomorrow	my bloody valentine	m b v	LIKE	Fbmz_Icr8wU	MPREb_NTixiZJ3xDf	UCuoGeza7Dl9Ni_hmeLTPdkg
1927	who sees you	my bloody valentine	m b v	LIKE	Q1pyvIoZBbw	MPREb_NTixiZJ3xDf	UCuoGeza7Dl9Ni_hmeLTPdkg
1928	is this and yes	my bloody valentine	m b v	LIKE	PEjShUQv4CI	MPREb_NTixiZJ3xDf	UCuoGeza7Dl9Ni_hmeLTPdkg
