	title	artist	album	likeStatus	duration	videoId	albumId	artistId
281	Sleepless (feat. Jezzabell Doran)	Flume	Flume: Deluxe Edition	LIKE	3:30	pXabKwlbxvI	MPREb_cxKuyFeY7pG	UCEdhHl4ZB0JXIinqZ367F6w
307	You Always Start It	xxxy	You Always Start It / Ordinary Things	INDIFFERENT	6:29	FwEftUyucjE	MPREb_e5J4d4vYN5f	UCB0po_qWwDGDqPYbeqfRP8Q
275	Shave It (501 Remix)	Zedd	The Aftershave EP	INDIFFERENT	4:10	wQwvxJ8PScg	MPREb_99EQFUeWTus	UCGVGIqHPzwLhZg8KQNVaRbA
303	Hurting Me	Zed Bias	Heavy Water Riddim / Hurting Me	INDIFFERENT	5:34	3eevBn6lImg	MPREb_IkL6XDypy9a	UCMTcCx_7bBDyX3sHmcTPvKw
17	Beg (Hot Since 82 Future Mix)	Yousef	Beg	INDIFFERENT	6:51	9zSYg_InLIg	MPREb_uCtyWfYryed	UC8x5K5b1JNH-YN3l99K6J5Q
276	Give in to You	XXXY	Bash	INDIFFERENT	3:22	doke3o0hzSI	MPREb_kKzEZBwKBVt	
290	This Much	XXXY	Every Step Forward EP	INDIFFERENT	7:23	pDES5sOAzCE	MPREb_GMOxufAorat	UCB0po_qWwDGDqPYbeqfRP8Q
71	Bomba (Eats Everything Remix)	Worthy	Bomba	INDIFFERENT	7:16	LBc2PchwvwE	MPREb_2RDK0wxpHvh	UCxB6p2QglRdAtIpJfQl6uaQ
170	My Way (Midland Remix)	Will Saul feat. Joe Dukie	My Way feat. Joe Dukie	INDIFFERENT	6:10	RVn3hREl5I0	MPREb_hlC0yWGGm9k	UCSdz2AKqEDnge-OH-D9kliQ
176	Shift	Who TF is Justin Time?	Rebels Only 2	INDIFFERENT	3:13	y2MBtIt59xI	MPREb_4mEcL9vnC76	UCQOldVjQSPYFCf6ltjRzkIQ
60	Algernon	Whitesquare	Algernon	INDIFFERENT	7:31	fxj6mIrln-U	MPREb_mr6vVNBVY3T	UCuy1XAo37B_EqjmZuCARqNw
6	Gemini (feat. George Maple)	What So Not	Gemini- EP	INDIFFERENT	4:31	xpyqlp_1VR0	MPREb_07HItCUpSan	UCCsaNVXPQAq1xF724Agb8tg
238	7 Dollar Bill	What So Not	Sweat It Out! Classics	INDIFFERENT	4:25	3-x6HYL_uTQ	MPREb_lguYZfHtlzg	UCCsaNVXPQAq1xF724Agb8tg
121	Dance, Yeah How	Waze & Odyssey	More Music Compilation	INDIFFERENT	6:58	2r_avxazjoU	MPREb_3s3CZeK7Wkq	UCXLgFErYpQXNgxnVVwYCJPQ
143	2 Cool 2 Clap	Waze & Odyssey	2 Cool 2 Clap	INDIFFERENT	6:30	FMEeZuK8YqM	MPREb_cbxGi0WhZfz	UCXLgFErYpQXNgxnVVwYCJPQ
144	Please Don't Dance (Dam Swindle's Basement Dub) (feat. Dam Swindle)	Waze & Odyssey	Please Don't Dance EP	INDIFFERENT	7:40	mHiWgSisePg	MPREb_dccliV4eaHz	UCXLgFErYpQXNgxnVVwYCJPQ
52	Way Back	Way Back	Way Back EP	INDIFFERENT	4:40	hQRFAtDUluc	MPREb_r9whw2tEyhs	UCVQftM7kSs1pslLaUdNmong
189	Basement Chord / Show You (Accapella) [Mixed]	Washerman	Defected Radio Episode 121 (hosted by Sam Divine)	INDIFFERENT	3:03	vaSeoY5dLdA	MPREb_7PSrHosF2zN	UCrifYS9KyfaNKQjoujp6-XQ
102	King of My Castle (Roy Malone's King Mix)	Wamdue Project	King of My Castle	INDIFFERENT	5:00	jH3LQUPe7P4	MPREb_0nAXDHAYBPj	UCjXRN-0tWFVceSld5LWdtcw
25	Body Shiver (Hot Natured Remix)	Waifs & Strays	Body Shiver	INDIFFERENT	7:24	0ui-vU1tHGQ	MPREb_yFSILOmuNpy	UCKGyi2JzRu83-8T7h-6ls8Q
285	All I Want	Viadrina	All We Want EP	INDIFFERENT	6:08	ZktSTaLC6dI	MPREb_gLs2bcx7w1b	UC96PQmkE9PFwN8XDWLh-c3A
100	APC (Club Mix)	Utrecht	APC	INDIFFERENT	5:05	9krVby9q3oI	MPREb_4P251yWuSZQ	UC-h9nXnj5x2ILoOQwwvhH7A
24	Gold Dayzz (Maribou State Remix)	Ultraísta	Ultraísta Remixes	INDIFFERENT	4:56	zOvGZBkeyUg	MPREb_vAawF6qFFJ4	UCdKVMaDTa7BEAFKNqDBb1Tg
221	Free (Mood II Swing Extended Vocal Mix)	Ultra Naté	Strictly Rhythm Est. 1989 - 20 Years of Classics	INDIFFERENT	12:06	HnXTOkWq97k	MPREb_qxOoZuPBOfv	UCEwPUuoszr-TzwEINavgsyA
223	Imprint of Pleasure	Tube & Berger	Imprint of Pleasure	INDIFFERENT	7:23	szsbh6BTs_c	MPREb_nQRQjGrsWAE	UC8EDPMxer2q6AZa7wr_9NaQ
205	All I Need	Trevor Morgan	Roots	INDIFFERENT	3:07	Wy_ghj4sSgE	MPREb_BszXOtJkHhU	UCPDKkWdKx379G6NNG9_2aWQ
93	Life Of Plants & Flowers	Tom Trago	Iris	INDIFFERENT	4:37	8T_fx8dsqic	MPREb_WW1SX0ThULY	UCmxTBImZ3Ws0KQUEmKT676g
302	Lost in the Streets of NYC	Tom Trago	Use Me Again	INDIFFERENT	4:34	iGemEhI9Dgk	MPREb_ZYIprwW0tUu	UCmxTBImZ3Ws0KQUEmKT676g
311	Use Me Again (Carl Craig Rework) (feat. Carl Craig)	Tom Trago	Use Me Again (And Again)	INDIFFERENT	7:43	QXb8kBYHUZQ	MPREb_Adzn7wpy9DU	UCmxTBImZ3Ws0KQUEmKT676g
139	Music Is My Life (Tee's InHouse Mix)	Todd Terry & Supa from Aly-Us	Music Is My Life (Remixes)	INDIFFERENT	7:37	NP8qt93kJfw	MPREb_ySxDEmYbLzx	UCk1itjM0NGtzu0hHxcPdB4A
193	Searching	Todd Edwards	Searching EP	INDIFFERENT	6:30	NIsGwCWFEDo	MPREb_lnXIuRkYcye	UCk_ezssvR9Os0VrMbmA3SWg
265	I Might Be	Todd Edwards	I Might Be	INDIFFERENT	6:20	k_ocgZmbFb4	MPREb_WKx1GLVjhcN	UCk_ezssvR9Os0VrMbmA3SWg
306	French Fries	Tim Bailey	French Fries	INDIFFERENT	6:01	c5DgKp8j_e8	MPREb_Oayogwdtwuh	UCOD2DxB6nwFvBvSIIlRdZmA
39	Every Little Piece (Hot Since 82 Remix) (feat. Caitlin Devlin)	Thomas Schumacher featuring Caitlin Devlin	Change the Game	INDIFFERENT	7:13	Y-kzmOctwhQ	MPREb_94BdVnmQzcG	UC7KLbceUH8rRpmGvO-e2wjA
147	Majora's Mask	Theophany	Time's End: Majora's Mask (Remixed)	INDIFFERENT	2:53	Ew8ua84qupM	MPREb_nNZJfw9NHKQ	UCWGXrveJdx3U3qEW1h4GyNQ
316	Businessman on Diazepam	The Other Tribe	Waves, Vol. 1 (Mixed By Murder He Wrote)	INDIFFERENT	6:39	7lfMVFrjPJM	MPREb_mD7YLqtpHgh	UCUEX0Vtwlby3E206gNUc2vw
186	Work It (Grant Nalder Mix)	The New Iberican League, Roland Clark	Iberican League Summer Remixes	INDIFFERENT	6:05	nYWZda-xNYI	MPREb_VOAwFBLSKCZ	UCDo5iXkhlPvspKR5tLQnm8Q
84	Conscience down by the tracks near the 80	The Mole	Katapult various artists vol 3	INDIFFERENT	6:00	lFszrhQs7OM	MPREb_Oxwn3USfTga	UCvaa8e1TLZaGiz3oAcRfDng
287	Subway	Tessela	Slugger	INDIFFERENT	5:37	X68Lt2_uoqY	MPREb_yKXt7u0pTdA	UCAUTK5AsxCCaqAMnWhwZzqw
288	Acid Test	Tessela	Nasty Rips and Shifting Peaks Volume 1	INDIFFERENT	5:37	qjmQr4M3qW0	MPREb_PXedTXzu8LR	UCAUTK5AsxCCaqAMnWhwZzqw
182	Off My Mind (Reel Soul Vocal Mix)	TONYA RENEE	Off My Mind - EP	INDIFFERENT	6:38	2KskWiMXzvc	MPREb_tkQKhxbTkkK	UCUCEY4gUt5jUhfNP_BkWw3g
105	Just Gets Better (Extended Dub) (feat. Xavier)	TJR	Just Gets Better	INDIFFERENT	7:20	MYhiP7txuCo	MPREb_cIe5YTTOZaG	UCkHbPfLPTVI3RZ-7OStTB0g
219	Real Love (feat. Kat Blu)	TJ CASES	2 Step UK Garage 1997-2000	INDIFFERENT	5:50	U0MZXrw1pM8	MPREb_Mns6lv3unZx	UCvtG4a9uLIcjTxG7Xi7wVig
274	Heartbroken (Edit)	T2	Heartbroken	INDIFFERENT	2:59	W2SLeBZSe9A	MPREb_856qD86OCRI	UChEZHGbD3L0jaYbImIQasbw
126	Memories of Love	Synkro	Broken Promise EP	INDIFFERENT	3:38	p8L0PtN6Tts	MPREb_NCaruZG2mru	UCftWY9HJZtBEBd0Y9ftDPxQ
127	Why Don't You	Synkro	Broken Promise EP	INDIFFERENT	4:05	AQqUfZ5rxi0	MPREb_NCaruZG2mru	UCftWY9HJZtBEBd0Y9ftDPxQ
