	title	artist	album	likeStatus	duration	videoId	albumId	artistId
19	Train Song (Columbia single, 1966)	Vashti Bunyan	Some Things Just Stick In Your Mind (Singles And Demos 1964 To 1967)	LIKE	2:17	hswWRRk4vAo	MPREb_41v1PAz4bOn	UCAsYIm0d6ISVF_AUF_kfRig
11	Tired of Waiting for You	The Kinks	Kinda Kinks	LIKE	2:31	jXY8vwL7G8w	MPREb_gfCdHy7L8m6	UCsQHS0_Fw1vIXm3TEbPokvA
2	Far From Any Road	The Handsome Family	Singing Bones	LIKE	2:47	TRJ_s2G76Hg	MPREb_oowVEm6hLDb	UCVhxmmRcTkp5Pp3seJ-K-Ug
3	Young Men Dead	The Black Angels	Passover	LIKE	5:32	ZHajKLjYYog	MPREb_ZGqvQtzfLgP	UCdMCMtXUYb-9gvK1srSECuQ
42	Baby Blue	The 13th Floor Elevators	Easter Everywhere	LIKE	5:16	Gm7G-6jHoyE	MPREb_F8TSaScs9H3	UCAwuokMGAQsp1gy2GmXT2AA
24	Holy Mountain	Sleep	Sleep's Holy Mountain	LIKE	8:44	HW4t-Pl3GhQ	MPREb_DkHSPitvF83	UCWBYenygd5SMBbBPQbS77JQ
12	The Mercy Seat	Nick Cave and The Bad Seeds	Tender Prey	LIKE	7:19	Are2FK_P3xY	MPREb_SCdJR3g05ox	UCO3bMONL-69xY-dqqo5Cnew
1	Red Right Hand (2011 Remastered Version)	Nick Cave & The Bad Seeds	Let Love In (2011 Remastered Version)	LIKE	6:11	lBVFdSFV2lQ	MPREb_uYNfRvdbNni	UCO3bMONL-69xY-dqqo5Cnew
40	Too Many Tears In My Eyes - Re-Recording	Ike and Tina Turner	Ike and Tina Turner's This Man's Crazy	LIKE	2:43	ZlZAdchSP-g	MPREb_7kW4XxD5xWi	UCuv0I8GmD4a4pniZRdpFOxg
28	Kingdom of Heaven (Mono LP Version)	13th Floor Elevators	The Psychedelic Sounds Of The 13th Floor Elevators	LIKE	3:05	E0Z3HAaguSo	MPREb_O3RQ39zseFi	UCAwuokMGAQsp1gy2GmXT2AA
10	Protect Ya Neck (Shao Lin Version)	Wu-Tang Clan	Enter The Wu-Tang (36 Chambers) [Expanded Edition]	INDIFFERENT	4:39	iEWnv4cQBKA	MPREb_eRevYdOLt8G	UCdQKMtGgbbahJWE3rkPaGoA
27	Waymore's Blues	Waylon Jennings	Waylon Forever	INDIFFERENT	5:02	iT4VbFCpYdA	MPREb_5DFcaXdxYFS	UCOayq7etITYmC6TlZReZSrw
50	Red Light (feat. Ravenbird)	Vincent & Mr. Green	Vincent & Mr Green	INDIFFERENT	3:49	XtjRRqORBPI	MPREb_Q8iDuB8YdFB	UCY4sZ0L9ccadsYlQP6COs6w
8	Lungs	Townes Van Zandt	Townes Van Zandt	INDIFFERENT	2:30	jmBiNrOeMlQ	MPREb_9jiO7CIjG9T	UC0nXgIL3q7dp3-QRNDYkdFg
49	Stand By Me	The Staple Singers	Gospel Music	INDIFFERENT	3:34	RMzgDBUEe28	MPREb_tDiVmJyiPvY	UCES6P3frdkIMVkj95rxvLaw
